"","date","total_entries","Male","Female","ages0_14","ages15_64","ages65_up","nationals_registered","Mainland","HK_Macao","nationals_unregistered","Foreigners"
"131","<U+4E8C> <U+6708>  Feb.","842801","458945","383856","53173","734799","54829","539499","41304","38535","2266","221197"
"132","<U+4E09> <U+6708>  Mar.","1021407","575241","446166","29630","895719","96058","626206","85731","51463","3083","254924"
"133","<U+56DB> <U+6708>  Apr.","1123921","618325","505596","39922","962831","121168","675435","129994","79487","2975","236030"
"134","<U+4E94> <U+6708>  May","1019722","564553","455169","30012","896814","92896","653347","109043","56771","2943","197618"
"135","<U+516D> <U+6708>  June","896740","516281","380459","40429","798672","57639","575357","55543","54580","3529","207731"
"136","<U+4E03> <U+6708>  July","1111171","608755","502416","113161","941803","56207","764453","68580","57833","4166","216139"
"137","<U+516B> <U+6708>  Aug.","1212262","641882","570380","129000","1023531","59731","844771","78822","64031","3302","221336"
"138","<U+4E5D> <U+6708>  Sept.","995336","568984","426352","22581","906164","66591","654691","63009","39614","2340","235682"
"139","<U+5341> <U+6708>  Oct.","1041660","589872","451788","30133","923830","87697","673448","76162","46221","2720","243109"
"140","<U+5341><U+4E00><U+6708>  Nov.","1114994","629777","485217","30623","985521","98850","704505","112337","41950","3704","252498"
"141","<U+5341><U+4E8C><U+6708>  Dec.","1138278","638709","499569","54006","1012112","72160","688472","89854","62563","3768","293621"
"142","<U+4E5D><U+5341><U+4E5D><U+5E74>2010","14980936","8169757","6811179","814136","13022571","1144229","9413659","1607569","700700","23531","3235477"
"143","<U+4E00> <U+6708>  Jan.","1023028","560036","462992","59956","895426","67646","677047","85507","31199","1836","227439"
"144","<U+4E8C> <U+6708>  Feb.","1288818","685665","603153","129865","1092070","66883","901675","106146","56203","1935","222859"
"145","<U+4E09> <U+6708>  Mar.","1199317","655294","544023","37959","1045045","116313","682805","148156","53956","2150","312250"
"146","<U+56DB> <U+6708>  Apr.","1240871","680351","560520","38882","1065702","136287","734471","179045","62402","2068","262885"
"147","<U+4E94> <U+6708>  May","1253969","689703","564266","35582","1093241","125146","748113","177843","60403","1905","265705"
"148","<U+516D> <U+6708>  June","1255978","687894","568084","54554","1103338","98086","785531","133511","70215","2265","264456"
"149","<U+4E03> <U+6708>  July","1380990","733848","647142","150311","1158254","72425","953227","127065","63897","2302","234499"
"150","<U+516B> <U+6708>  Aug.","1366110","721049","645061","149362","1155328","61420","923875","115882","72782","2010","251561"
"151","<U+4E5D> <U+6708>  Sept.","1210337","665397","544940","31511","1094221","84605","790948","103936","52287","1770","261396"
"152","<U+5341> <U+6708>  Oct.","1258117","692110","566007","30146","1110941","117030","772158","148209","52698","1712","283340"
"153","<U+5341><U+4E00><U+6708>  Nov.","1259641","703259","556382","35551","1104025","120065","730643","163275","52324","1483","311916"
"154","<U+5341><U+4E8C><U+6708>  Dec.","1243760","695151","548609","60457","1104980","78323","713166","118994","72334","2095","337171"
"155","<U+4E00><U+3007><U+3007><U+5E74>2011","15648884","8514700","7134184","818873","13689428","1140583","9561400","1755529","720722","22506","3588727"
"156","<U+4E00> <U+6708>  Jan.","1176022","668916","507106","75186","1033452","67384","775405","99568","36280","1936","262833"
"157","<U+4E8C> <U+6708>  Feb.","1110063","581645","528418","84742","955754","69567","656595","114057","59035","1942","278434"
"158","<U+4E09> <U+6708>  Mar.","1205734","670247","535487","33861","1060824","111049","687519","151764","51357","2045","313049"
"159","<U+56DB> <U+6708>  Apr.","1302696","717231","585465","48632","1130468","123596","752538","190598","76357","1927","281276"
"160","<U+4E94> <U+6708>  May","1245048","691463","553585","35906","1101748","107394","774577","148712","48883","1596","271280"
"161","<U+516D> <U+6708>  June","1318424","719396","599028","59509","1167584","91331","855784","111503","66557","2202","282378"
"162","<U+4E03> <U+6708>  July","1484058","783870","700188","158972","1250061","75025","1018402","133784","64908","2103","264861"
"163","<U+516B> <U+6708>  Aug.","1445060","756532","688528","148143","1229384","67533","938162","135866","72227","1849","296956"
"164","<U+4E5D> <U+6708>  Sept.","1301389","714256","587133","32599","1179156","89634","840395","120626","49338","1729","289301"
"165","<U+5341> <U+6708>  Oct.","1366708","737802","628906","38093","1206153","122462","836278","160655","53412","1714","314649"
"166","<U+5341><U+4E00><U+6708>  Nov.","1340776","739175","601601","37338","1179994","123444","721433","210798","57113","1456","349976"
"167","<U+5341><U+4E8C><U+6708>  Dec.","1352906","734167","618739","65892","1194850","92164","704312","177598","85255","2007","383734"
"168","<U+4E00><U+3007><U+4E00><U+5E74>2012","17491283","9275166","8216117","921693","15218854","1350736","10179813","2551532","906621","21682","3831635"
"169","<U+4E00> <U+6708>  Jan.","1369484","740603","628881","114478","1174860","80146","909420","137374","56345","2088","264257"
"170","<U+4E8C> <U+6708>  Feb.","1229414","641237","588177","65238","1074053","90123","704174","161501","49735","1771","312233"
"171","<U+4E09> <U+6708>  Mar.","1425899","766021","659878","40686","1244556","140657","732714","250545","72557","1798","368285"
"172","<U+56DB> <U+6708>  Apr.","1528530","806853","721677","53352","1314583","160595","837444","275276","98032","1890","315888"
"173","<U+4E94> <U+6708>  May","1435298","760841","674457","40459","1249414","145425","836200","226302","67109","1659","304028"
"174","<U+516D> <U+6708>  June","1472698","788595","684103","67002","1297211","108485","864920","196513","98458","2175","310632"
"175","<U+4E03> <U+6708>  July","1640018","843109","796909","177654","1376024","86340","1047569","232577","84422","2055","273395"
"176","<U+516B> <U+6708>  Aug.","1576297","806063","770234","167609","1331093","77595","969175","201896","94480","1852","308894"
"177","<U+4E5D> <U+6708>  Sept.","1432729","771906","660823","39072","1294340","99317","881828","183065","70089","1673","296074"
"178","<U+5341> <U+6708>  Oct.","1443983","763443","680540","38292","1272520","133171","833641","222087","62642","1526","324087"
"179","<U+5341><U+4E00><U+6708>  Nov.","1459821","791972","667849","45505","1282074","132242","788204","240155","65802","1333","364327"
"180","<U+5341><U+4E8C><U+6708>  Dec.","1477112","794523","682589","72346","1308126","96640","774524","224241","86950","1862","389535"
"181","<U+4E00><U+3007><U+4E8C><U+5E74>2013","19072276","9842931","9229345","1085878","16539929","1446469","11055996","2837470","1062417","20794","4095599"
"182","<U+4E00> <U+6708>  Jan.","1284017","673961","610056","80188","1119318","84511","756921","192772","48812","1373","284139"
"183","<U+4E8C> <U+6708>  Feb.","1489942","768801","721141","132686","1272192","85064","917786","213104","74809","1854","282389"
"184","<U+4E09> <U+6708>  Mar.","1599292","835315","763977","58677","1387847","152768","840059","266277","102239","2029","388688"
"185","<U+56DB> <U+6708>  Apr.","1607606","824345","783261","56834","1384731","166041","916105","294889","75026","1787","319799"
"186","<U+4E94> <U+6708>  May","1440235","754007","686228","45026","1266894","128315","822292","214353","86346","1583","315661"
"187","<U+516D> <U+6708>  June","1577448","823834","753614","80056","1387508","109884","939871","217610","113401","1839","304727"
"188","<U+4E03> <U+6708>  July","1733312","877774","855538","196328","1442652","94332","1098080","245991","97830","1874","289537"
"189","<U+516B> <U+6708>  Aug.","1733449","876582","856867","187466","1459576","86407","1046765","237359","111590","1763","335972"
"190","<U+4E5D> <U+6708>  Sept.","1683485","857757","825728","55085","1503095","125305","1009413","267688","76771","1681","327932"
"191","<U+5341> <U+6708>  Oct.","1649482","846523","802959","51765","1448184","149533","970454","218142","81732","1497","377657"
"192","<U+5341><U+4E00><U+6708>  Nov.","1621089","849849","771240","53926","1417848","149315","889659","233154","85380","1431","411465"
"193","<U+5341><U+4E8C><U+6708>  Dec.","1652919","854183","798736","87841","1450084","114994","848591","236131","108481","2083","457633"
"194","<U+4E00><U+3007><U+4E09><U+5E74>2014","21707379","10890247","10817132","1270039","18663204","1774136","11797175","3947610","1256365","19181","4687048"
"195","<U+4E00> <U+6708>  Jan.","1579767","832758","747009","122084","1357264","100419","912533","265748","64172","1576","335738"
"196","<U+4E8C> <U+6708>  Feb.","1571246","765038","806208","114600","1340461","116185","813067","302823","82866","1505","370985"
"197","<U+4E09> <U+6708>  Mar.","1786528","890691","895837","59120","1545379","182029","906130","358205","89181","1783","431229"
"198","<U+56DB> <U+6708>  Apr.","1872573","930444","942129","80248","1584939","207386","980698","373602","133811","1583","382879"
"199","<U+4E94> <U+6708>  May","1837986","922037","915949","64891","1585238","187857","1020251","330679","106419","1549","379088"
"200","<U+516D> <U+6708>  June","1847406","929856","917550","98822","1601298","147286","1041443","311738","123810","1759","368656"
"201","<U+4E03> <U+6708>  July","1987674","977392","1010282","237538","1636655","113481","1178973","340703","122834","1709","343455"
"202","<U+516B> <U+6708>  Aug.","1902097","944862","957235","212055","1592379","97663","1089581","309104","137821","1582","364009"
"203","<U+4E5D> <U+6708>  Sept.","1817893","918552","899341","58674","1618547","140672","1008331","338604","97553","1744","371661"
"204","<U+5341> <U+6708>  Oct.","1848023","921764","926259","63687","1611106","173230","1001396","344757","85525","1338","415007"
"205","<U+5341><U+4E00><U+6708>  Nov.","1809722","921938","887784","61476","1576663","171583","950715","329613","90241","1213","437940"
"206","<U+5341><U+4E8C><U+6708>  Dec.","1846464","934915","911549","96844","1613275","136345","894057","342034","122132","1840","486401"
"207","<U+4E00><U+3007><U+56DB><U+5E74>2015","23601215","11663849","11937366","1457170","20245223","1898822","13161430","4143836","1393704","19198","4883047"
"208","<U+4E00> <U+6708>  Jan.","1605783","799658","806125","83769","1399580","122434","853512","318899","65723","1328","366321"
"209","<U+4E8C> <U+6708>  Feb.","1927363","956049","971314","207794","1605175","114394","1110180","402353","87861","1522","325447"
"210","<U+4E09> <U+6708>  Mar.","1861525","925587","935938","75873","1614203","171449","999933","276587","104955","2032","478018"
"211","<U+56DB> <U+6708>  Apr.","2029132","999702","1029430","90227","1728652","210253","1141121","355447","134809","1594","396161"
"212","<U+4E94> <U+6708>  May","2001152","985936","1015216","75448","1722048","203656","1134772","369675","115061","1432","380212"
"213","<U+516D> <U+6708>  June","1943803","969019","974784","103055","1680886","159862","1143656","304590","130399","1501","363657"
"214","<U+4E03> <U+6708>  July","2064805","1016665","1048140","244741","1700314","119750","1231566","349533","132449","1682","349575"
"215","<U+516B> <U+6708>  Aug.","2106316","1025965","1080351","242877","1752215","111224","1212058","364298","151286","1541","377133"
"216","<U+4E5D> <U+6708>  Sept.","1945980","963212","982768","70937","1729791","145252","1108606","341991","109077","1645","384661"
"217","<U+5341> <U+6708>  Oct.","2057884","1005806","1052078","75967","1789773","192144","1130934","383585","103807","1619","437939"
"218","<U+5341><U+4E00><U+6708>  Nov.","2011493","997524","1013969","70183","1745782","195528","1072010","354620","107622","1324","475917"
"219","<U+5341><U+4E8C><U+6708>  Dec.","2045979","1018726","1027253","116299","1776804","152876","1023082","322258","150655","1978","548006"
"220","<U+4E00><U+3007><U+4E94><U+5E74>2016","25227784","12334022","12893762","1651701","21572532","2003551","14537505","3472673","1494578","20008","5703020"
"221","<U+4E00> <U+6708>  Jan.","1938264","949054","989210","144700","1648917","144647","1072334","363678","85250","1499","415503"
"222","<U+4E8C> <U+6708>  Feb.","2127844","1024480","1103364","195660","1797339","134845","1207689","401922","105871","1651","410711"
"223","<U+4E09> <U+6708>  Mar.","2112178","1030033","1082145","93135","1811912","207131","1077448","360326","152703","1922","519779"
"224","<U+56DB> <U+6708>  Apr.","2150775","1046499","1104276","93874","1838612","218289","1240452","372774","102750","1689","433110"
"225","<U+4E94> <U+6708>  May","2095101","1023137","1071964","87516","1797926","209659","1212536","324384","115881","1444","440856"
"226","<U+516D> <U+6708>  June","2128316","1038655","1089661","129115","1833287","165914","1310516","268177","133199","1706","414718"
"227","<U+4E03> <U+6708>  July","2252273","1093817","1158456","279604","1843282","129387","1403404","296775","140572","1749","409773"
